Locations/Villages,Population 2011
Adakamaranahalli,"4,137"
Adde Vishwanathapura,"1,762"
Adiganahalli,"2,141"
Agrahara Palya,225
Alur,"1,962"
Arakere,772
Arebinnamangala,720
Avalahalli,"2,283"
Avverahalli,415
Bagalur,"10,320"
Bandi Kodige Halli,"1,305"
Bandi Kodigehalli Palya,548
Bandikodegehalli Amanikere,0
Begur,434
Bethanagere,977
Bettahalasur,"3,573"
Bettahalli,840
Bilijaji,840
Bilmaranahalli,451
Boilahalli,392
Bommasettihalli,281
Budumanahalli,561
Byanahalli,482
Byandahalli,869
Byappanahalli,676
Byatha,936
Bylakere,"2,722"
Bylakonenahalli,490
Byrapura,638
Byregowdanahalli,673
Chagalahatti,986
Challahalli,803
Challamakunte,3
Channahalli,"1,269"
Channasandra,167
Chikkajala,"6,154"
Chikkanahalli,291
Chokkanahalli,379
Chokkanahalli,124
Dasanapura,"4,551"
Dasanayakanahalli,337
Dasenahalli,"1,034"
Dibburu,623
Doddajala,"1,660"
Doddajala Amanikere,0
Dombarahalli,"2,640"
Dummanur,0
Gadenahalli,604
Gangondanahalli,"3,420"
Ganigarahalli,"1,799"
Gantiganahalli,"1,050"
Gattisiddanahalli,0
Gavipalya,0
Gejjagadahalli,"1,052"
Giddenahalli,674
Gollahalli,87
Gollarapalya,41
Gopalapura,"1,026"
Govindapura,289
Gowdahalli,586
Guddadahalli,728
Guniagrahara,"1,533"
Haniyur,972
Hanumantha Sagara,649
Harokyathanahalli,"2,513"
Heggadadevanapura,"4,820"
Hesaraghatta,"8,166"
Hesaraghatta Grass Farm,41
Honnasandra,"1,059"
Honnenahalli,"1,151"
Hosahalli,"1,427"
Hosahalli Palya,425
Huchana Palya,261
Hullegowdanahalli,"1,366"
Hunachur,944
Hunnigere,644
Hurali Chikkanahalli,"1,901"
Huskur,"1,320"
Huttanahalli,"1,524"
Huvinayakanahalli,642
Ittagallpura,504
Ivar Kandapura,"1,834"
Jarakbandekaval,74
K G Lakkenahalli,877
K G Srikantapura,299
Kachohalli,"8,347"
Kadabagere,"5,235"
Kadaranahalli,412
Kadathanamale,500
Kakkehalli,237
Kakolu,"1,287"
Kalathammanahalli,670
Kalenahalli,269
Kamakshipura,707
Kammasandra,649
Kannahalli,"1,579"
Kasagattapura,"2,660"
Kempanahalli,408
Kempapura,566
Kenganahalli,487
Kittana Halli,"2,356"
Kodagi Thirumalapura,"2,092"
Kodigehalli(Part),163
Kodipalya,171
Koluvarayanahalli,378
Kondashetti Halli,305
Krishnarajapura,49
Krishnasagara,0
Kuduragere,"2,425"
Kuduragere,"1,073"
Kukkanahalli,935
Kumbarahalli,"1,459"
Lakkenahalli,955
Lakshmipura,"1,895"
Lakshmipura,"3,895"
Lakshmisagara,16
Linganahalli,554
Lingarajapura,224
Lingarajasagara,0
Machohalli,"6,468"
Madappanahalli,"1,190"
Madavara,"8,742"
Madhugirihalli,405
Mahadevakodigehalli,"1,455"
Makali,"2,873"
Mallasandra,830
Manchappanahosahalli,"1,515"
Manganahalli,"2,626"
Maralakunte,"1,251"
Maranayakana Halli,"1,272"
Marasandra,965
Marasandra Amanikere,"2,343"
Marenahalli,"3,313"
Mariyanapalya,0
Mathahalli,890
Mathkur,"1,065"
Mavallipura,"1,000"
Medi Agrahara,662
Meenakunte,"2,040"
Meesaganahalli,361
Muddanahalli,326
Muniyanapalya,97
Muthagada Halli,315
Muthugada Halli,355
Mylanahalli,"3,127"
Mylappanahalli,940
Nagadasanahalli,600
Nagarur,"2,040"
Nagasandra,253
Narasipura,548
Narayanappana Palya,212
Navarathna Agrahara,"1,506"
Nellukunte,298
Nellukunte,"1,305"
Papanahalli,76
Pillahalli,"1,072"
Rajanukunte,"3,813"
Ramagondanahalli,"2,685"
Rampalya,233
Ravuthanahalli,906
Sadenahalli,"1,463"
Sasiveghatta,737
Sathnur,"2,151"
Seegehalli,"1,609"
Seeresandra,592
Seethakempanahalli,799
Seshagiri Rao Palya,55
Settigere,925
Shamabhattara Palya,297
Shamarajpura,242
Shanubhoganahalli,993
Shivakote,"1,762"
Shivanapura,"1,372"
Siddanahosahalli,"6,165"
Singahalli,832
Singanayakanahalli,"2,877"
Singanayakanahalli Amanikere,0
Soladevanahalli,"2,940"
Somashetti Halli,"2,164"
Sondekoppa,"4,045"
Sonnappanahalli,"3,932"
Sonnenahalli,"1,343"
Sreeramanahalli,"1,108"
Suradenpura,"1,734"
Syadamipalya,162
Tarahunase,"1,864"
Thammarasanahalli,436
Thammenahalli,"1,256"
Tharabana Halli,"2,161"
Tharabanahalli,"1,294"
Thimmasandra,797
Thirumalapura,0
Torenagasandra,885
Totagere,"1,165"
Vaddarahalli,361
Vaderahalli,759
Vaderahalli,"3,083"
Veerasagara,984
Venkatapura,172